animal1,animal2,language_similarity_simple_dist_color
bat,bat,0
beaver,bat,0.34367055902737653
boar,bat,0.3065901973338354
cheetah,bat,0.36382270001502665
crow,bat,0.4286392688659259
deer,bat,0.35485866060010796
dolphin,bat,0.28868389015297446
elephant,bat,0.339748824272409
flamingo,bat,0.43452776900550016
giraffe,bat,0.3424373076175314
goat,bat,0.26300650875759995
gorilla,bat,0.37197383116836696
grizzly,bat,0.3847700079178401
hippo,bat,0.35714692070645254
killerwhale,bat,0.291022981524719
lion,bat,0.3790974961371237
llama,bat,0.3474347182462832
mammoth,bat,0.29395585031479105
panda,bat,0.36065570161904803
panther,bat,0.5843617711626673
pig,bat,0.28072013281190816
pigeon,bat,0.27010388902000126
polarbear,bat,0.37424933161971874
rhino,bat,0.35746242155484675
shark,bat,0.3540953695477954
sheep,bat,0.2931564899940942
skunk,bat,0.43693476014373256
sloth,bat,0.3254719491786015
swan,bat,0.4245798979377485
zebra,bat,0.6294857805145355
bat,beaver,0.34367055902737653
beaver,beaver,0
boar,beaver,0.2811833864965167
cheetah,beaver,0.3571160951084798
crow,beaver,0.33648059368323685
deer,beaver,0.27322892581944097
dolphin,beaver,0.30464761105287713
elephant,beaver,0.28500426023705105
flamingo,beaver,0.31279223680382773
giraffe,beaver,0.2742189923744105
goat,beaver,0.2752656706068556
gorilla,beaver,0.3182537854246847
grizzly,beaver,0.24473687670165564
hippo,beaver,0.4394726730563425
killerwhale,beaver,0.2309920427270366
lion,beaver,0.2599316804923799
llama,beaver,0.4244854893534119
mammoth,beaver,0.3318835431742958
panda,beaver,0.34245434703698013
panther,beaver,0.4585907494270219
pig,beaver,0.32141842568482065
pigeon,beaver,0.2846911130214527
polarbear,beaver,0.45619102224791075
rhino,beaver,0.29719556062214664
shark,beaver,0.31158831454875024
sheep,beaver,0.293113228486651
skunk,beaver,0.36212791513069087
sloth,beaver,0.3468038419887507
swan,beaver,0.3070969700586588
zebra,beaver,0.5170116284146185
bat,boar,0.3065901973338354
beaver,boar,0.2811833864965167
boar,boar,0
cheetah,boar,0.37833808708584543
crow,boar,0.4179378073635671
deer,boar,0.3217314195725766
dolphin,boar,0.3749399883222606
elephant,boar,0.30002761646072795
flamingo,boar,0.4289795766716835
giraffe,boar,0.31510198166723086
goat,boar,0.18542688335768218
gorilla,boar,0.3379583082830956
grizzly,boar,0.33584576826981566
hippo,boar,0.36763240692622223
killerwhale,boar,0.30323305332789086
lion,boar,0.3197794505455574
llama,boar,0.3627819107022106
mammoth,boar,0.2989076203067377
panda,boar,0.33218956358837287
panther,boar,0.5571445204762594
pig,boar,0.24751571564089006
pigeon,boar,0.32466844029542224
polarbear,boar,0.500500161600249
rhino,boar,0.3256536558579437
shark,boar,0.37255339518631037
sheep,boar,0.23048226844761643
skunk,boar,0.42866861367923786
sloth,boar,0.29653070235046514
swan,boar,0.42177930092597843
zebra,boar,0.6176043202224301
bat,cheetah,0.36382270001502665
beaver,cheetah,0.3571160951084798
boar,cheetah,0.37833808708584543
cheetah,cheetah,0
crow,cheetah,0.40952677833176065
deer,cheetah,0.38341217813269707
dolphin,cheetah,0.28993111323005943
elephant,cheetah,0.28207548009969075
flamingo,cheetah,0.31186011129299784
giraffe,cheetah,0.2407021854528214
goat,cheetah,0.3326304815714856
gorilla,cheetah,0.19987862506896037
grizzly,cheetah,0.29574245289678286
hippo,cheetah,0.388211047310501
killerwhale,cheetah,0.28910331935986694
lion,cheetah,0.3635860643986215
llama,cheetah,0.37251061190493095
