bat,S_01,two,legs,wings,,,,'two','legs','wings','',''
,S_02,two,legs,upsidedown,,,,'two','legs','upsidedown','',''
,S_03,flying,mammal,,,,,'flying','mammal','','',''
,S_04,webbed,wings,,,,,'webbed','wings','','',''
,S_05,small,,,,,,'small','','','',''
,S_06,short,,wings,,,,'short','','wings','',''
,S_07,wings,,,,,,'wings','','','',''
,S_08,wings,,,,,,'wings','','','',''
,S_09,rodentlike,,,,,,'rodentlike','','','',''
,S_10,wings,,,,,,'wings','','','',''
,S_11,body,,wings,,,,'body','','wings','',''
,S_12,rounded,,,,,,'rounded','','','',''
,S_13,cape,,,,,,'cape','','','',''
,S_14,wings,,,,,,'wings','','','',''
,S_15,short,legs,wings,,,,'short','legs','wings','',''
,S_16,small,,,,,,'small','','','',''
,S_17,hand,size,,,,,'hand','size','','',''
,S_18,short,legs,wings,,,,'short','legs','wings','',''
,S_19,wings,,,,,,'wings','','','',''
,S_20,upsidedown,,,,,,'upsidedown','','','',''
beaver,S_01,small,four,legs,,,,'small','four','legs','',''
,S_02,four,legs,,,,,'four','legs','','',''
,S_03,four,legs,,,,,'four','legs','','',''
,S_04,big,tail,squirrellike,,,,'big','tail','squirrellike','',''
,S_05,small,,,,,,'small','','','',''
,S_06,short,,,,,,'short','','','',''
,S_07,four,legs,short,,,,'four','legs','short','',''
,S_08,four,legs,,,,,'four','legs','','',''
,S_09,rodentlike,,,,,,'rodentlike','','','',''
,S_10,four,legs,low,ground,,,'four','legs','low','ground',''
,S_11,small,,large,body,,,'small','','large','body',''
,S_12,rounded,,,,,,'rounded','','','',''
,S_13,four,legs,low,ground,,,'four','legs','low','ground',''
,S_14,large,tail,relative,body,,,'large','tail','relative','body',''
,S_15,fourlegs,,shortlegs,,,,'fourlegs','','shortlegs','',''
,S_16,slim,,,,,,'slim','','','',''
,S_17,small,,furball,,,,'small','','furball','',''
,S_18,four,legs,low,ground,,,'four','legs','low','ground',''
,S_19,big,torso,,,,,'big','torso','','',''
,S_20,short,legs,,,,,'short','legs','','',''
boar,S_01,large,,legs,,,,'large','','legs','',''
,S_02,four,legs,,,,,'four','legs','','',''
,S_03,four,legs,,,,,'four','legs','','',''
,S_04,fat,,cylindrical,,,,'fat','','cylindrical','',''
,S_05,four,legs,medium,size,,,'four','legs','medium','size',''
,S_06,short,,,,,,'short','','','',''
,S_07,four,legs,short,ground,,,'four','legs','short','ground',''
,S_08,four,legs,,,,,'four','legs','','',''
,S_09,four,legs,hooves,,,,'four','legs','hooves','',''
,S_10,four,legs,low,ground,,,'four','legs','low','ground',''
,S_11,small,,fast,,,,'small','','fast','',''
,S_12,rounded,,,,,,'rounded','','','',''
,S_13,four,legs,lean,,,,'four','legs','lean','',''
,S_14,squat,body,,,,,'squat','body','','',''
,S_15,four,legs,medium,legs,,,'four','legs','medium','legs',''
,S_16,round,,,,,,'round','','','',''
,S_17,rectangular,,,,,,'rectangular','','','',''
