bat,CB_01,rough,,,
,CB_02,feathers,,,
,CB_03,skin,,,
,CB_04,leathery,skin,,
,CB_05,short,hair,,
,CB_06,soft,,,
,CB_08,feathers,,,
,CB_09,thin,fur,,
,CB_10,rough,skin,,
,CB_11,feathers,,,
,CB_12,soft,fur,,
,CB_13,fur,hair,,
,CB_14,feathers,,,
,CB_15,fur,,,
,CB_16,rough,,,
,CB_17,coarse,long,hair,
,CB_18,hair,curly,,
,CB_19,feathers,,,
,CB_23,fine,fur,,
beaver,CB_01,long,,,
,CB_02,fur,,,
,CB_03,fine,fur,,
,CB_04,hi,fur,,
,CB_05,long,thick,hair,
,CB_06,soft,,,
,CB_08,rough,course,hair,
,CB_09,rough,,,
,CB_10,wet,rubber,,
,CB_11,fur,,,
,CB_12,soft,fur,valuable,skin
,CB_13,fur,hair,,
,CB_14,slimy,,,
,CB_15,fur,,,
,CB_16,fur,,,
,CB_17,soft,fur,valuable,skin
,CB_18,fluff,silk,soft,
,CB_19,fur,,,
,CB_23,fine,fur,,
boar,CB_01,short,,,
,CB_02,fur,,,
,CB_03,fine,fur,,
,CB_04,short,fur,,
,CB_05,bushy,,,
,CB_06,rough,,,
,CB_08,rough,coarse,hair,
,CB_09,rough,,,
,CB_10,rough,skin,,
,CB_11,rough,skin,,
,CB_12,coarse,hair,,
,CB_13,rough,skin,,
,CB_14,short,hair,,
,CB_15,bristly,rough,,
,CB_16,fur,,,
,CB_17,tough,rough,,
,CB_18,bristly,,,
,CB_19,rough,skin,,
,CB_23,thick,fur,,
cheetah,CB_01,short,,,
,CB_02,fur,,,
,CB_03,fine,fur,,
,CB_04,short,fur,,
,CB_05,short,hair,,
,CB_06,soft,,,
,CB_08,soft,smooth,,
,CB_09,thin,fur,,
,CB_10,rough,skin,,
,CB_11,smooth,skin,,
,CB_12,coarse,hair,,
,CB_13,fur,hair,,
,CB_14,short,hair,,
,CB_15,fur,,,
,CB_16,fur,,,
,CB_17,short,hair,,
,CB_18,shaggy,,,
,CB_19,fur,,,
,CB_23,thick,fur,,
crow,CB_01,feathers,,,
,CB_02,feathers,,,
,CB_03,feathers,,,
,CB_04,feathers,,,
,CB_05,feathers,,,
,CB_06,feathers,,,
,CB_08,feathers,,,
,CB_09,fluff,feathers,,
,CB_10,feathers,,,
,CB_11,feathers,,,
,CB_12,feathers,,,
,CB_13,feathers,,,
,CB_14,feathers,,,
,CB_15,feathers,,,
,CB_16,rough,,,
,CB_17,coarse,long,hair,
,CB_18,feathers,,,
,CB_19,feathers,,,
,CB_23,fine,fur,,
deer,CB_01,short,,,
,CB_02,fur,,,
,CB_03,fur,,,
,CB_04,short,fur,,
,CB_05,short,hair,,
,CB_06,soft,,,
,CB_08,soft,smooth,,
,CB_09,thick,fur,,
,CB_10,soft,fur,,
,CB_11,smooth,skin,,
,CB_12,coarse,hair,,
,CB_13,fur,hair,,
,CB_14,short,hair,,
,CB_15,fur,,,
,CB_16,fur,,,
,CB_17,soft,fur,valuable,skin
,CB_18,hair,flat,,
,CB_19,fur,,,
,CB_23,thick,fur,,
dolphin,CB_01,smooth,,,
,CB_02,scales,,,
,CB_03,scales,,,
,CB_04,smooth,skin,,
,CB_05,smooth,,,
,CB_06,scales,,,
,CB_08,smooth,,,
,CB_09,slick,smooth,,
,CB_10,wet,rubber,,
,CB_11,rough,skin,,
,CB_12,slippery,skin,,
,CB_13,smooth,skin,,
,CB_14,slimy,,,
,CB_15,smooth,skin,,
,CB_16,smooth,,,
,CB_17,soft,fur,valuable,skin
,CB_18,unknown,,,
,CB_19,scales,,,
,CB_23,slippery,skin,,
elephant,CB_01,short,,,
,CB_02,fur,,,
,CB_03,thick,skin,,
,CB_04,leather,skin,,
,CB_05,rough,,,
,CB_06,smooth,,,
,CB_08,rough,coarse,hair,
,CB_09,rough,,,
,CB_10,rough,skin,,
,CB_11,smooth,skin,,
,CB_12,coarse,hair,,
,CB_13,rough,skin,,
,CB_14,coarse,hair,,
,CB_15,smooth,skin,,
,CB_16,rough,,,
,CB_17,tough,rough,,
,CB_18,hair,curly,,
,CB_19,rough,skin,,
,CB_23,rough,skin,,
flamingo,CB_01,smooth,,,
,CB_02,feathers,,,
,CB_03,feathers,,,
,CB_04,feathers,,,
,CB_05,feathers,,,
,CB_06,feathers,,,
,CB_08,feathers,,,
,CB_09,fluffy,feathers,,
,CB_10,feathers,,,
,CB_11,feathers,,,
,CB_12,feathers,,,
,CB_13,feathers,,,
,CB_14,feathers,,,
,CB_15,feathers,,,
,CB_16,smooth,,,
,CB_17,coarse,long,hair,
,CB_18,feathers,,,
,CB_19,feathers,,,
,CB_23,fine,fur,,
giraffe,CB_01,long,,,
,CB_02,fur,,,
,CB_03,skin,,,
,CB_04,short,fur,,
,CB_05,short,hair,,
,CB_06,soft,,,
,CB_08,rough,coarse,hair,
,CB_09,thin,fur,,
,CB_10,rough,skin,,
,CB_11,smooth,skin,,
,CB_12,rough,skin,,
,CB_13,rough,skin,,
,CB_14,coarse,hair,,
,CB_15,smooth,skin,,
,CB_16,fur,,,
,CB_17,short,hair,,
,CB_18,hair,curly,,
,CB_19,fur,,,
,CB_23,rough,skin,,
goat,CB_01,short,,,
,CB_02,fur,,,
,CB_03,thick,fur,,
,CB_04,short,fur,,
,CB_05,short,hair,,
,CB_06,rough,,,
,CB_08,rough,coarse,hair,
,CB_09,thin,fur,,
,CB_10,soft,fur,,
,CB_11,medium,fur,,
,CB_12,coarse,hair,,
,CB_13,fur,hair,,
,CB_14,short,hair,,
,CB_15,wool,,,
,CB_16,fur,,,
,CB_17,tough,rough,,
,CB_18,fleece,,,
,CB_19,fur,,,
,CB_23,thick,fur,,
gorilla,CB_01,coarse,,,
,CB_02,fur,,,
,CB_03,fur,,,
,CB_04,hi,fur,,
,CB_05,short,hair,,
,CB_06,rough,,,
,CB_08,smooth,,,
,CB_09,thin,fur,,
,CB_10,rough,skin,,
,CB_11,fur,,,
,CB_12,coarse,hair,,
,CB_13,rough,skin,,
,CB_14,coarse,hair,,
,CB_15,fur,,,
,CB_16,fur,,,
,CB_17,tough,rough,,
,CB_18,hair,curly,,
,CB_19,rough,skin,,
,CB_23,thick,fur,,
grizzly,CB_01,coarse,,,
,CB_02,fur,,,
,CB_03,fur,,,
,CB_04,hi,fur,,
,CB_05,long,thick,hair,
,CB_06,soft,,,
,CB_08,rough,coarse,hair,
,CB_09,thick,fur,,
,CB_10,soft,fur,,
,CB_11,fur,,,
,CB_12,soft,fur,,
,CB_13,fur,hair,,
,CB_14,coarse,hair,,
,CB_15,fur,,,
