bat,S_01,short,,fine,,,'short','','fine','',''
,S_02,fur,,,,,'fur','','','',''
,S_03,skin,,,,,'skin','','','',''
,S_04,short,fur,,,,'short','fur','','',''
,S_05,rough,skin,fur,,,'rough','skin','fur','',''
,S_06,sparse,hair,,,,'sparse','hair','','',''
,S_07,coarse,hair,,,,'coarse','hair','','',''
,S_08,feathers,,,,,'feathers','','','',''
,S_09,short,hair,rough,skin,,'short','hair','rough','skin',''
,S_10,soft,fur,,,,'soft','fur','','',''
,S_11,rough,no,fur,,,'rough','no','fur','',''
,S_12,fur,,,,,'fur','','','',''
,S_13,thin,skin,,,,'thin','skin','','',''
,S_14,light,hair,,,,'light','hair','','',''
,S_15,short,hair,,,,'short','hair','','',''
,S_16,rough,coat,,,,'rough','coat','','',''
,S_17,leather,,,,,'leather','','','',''
,S_18,smooth,skin,,,,'smooth','skin','','',''
,S_19,smooth,skin,,,,'smooth','skin','','',''
,S_20,rough,fur,,,,'rough','fur','','',''
beaver,S_01,short,,fine,,,'short','','fine','',''
,S_02,fur,,,,,'fur','','','',''
,S_03,hair,,fur,,,'hair','','fur','',''
,S_04,short,fur,,,,'short','fur','','',''
,S_05,fur,,,,,'fur','','','',''
,S_06,short,fur,,,,'short','fur','','',''
,S_07,soft,fur,,,,'soft','fur','','',''
,S_08,fuzz,,,,,'fuzz','','','',''
,S_09,long,hair,,,,'long','hair','','',''
,S_10,soft,fur,,,,'soft','fur','','',''
,S_11,rough,fur,,,,'rough','fur','','',''
,S_12,fur,,,,,'fur','','','',''
,S_13,thin,fur,,,,'thin','fur','','',''
,S_14,hair,,,,,'hair','','','',''
,S_15,coarse,hair,,,,'coarse','hair','','',''
,S_16,smooth,,,,,'smooth','','','',''
,S_17,bristles,,,,,'bristles','','','',''
,S_18,coarse,hair,,,,'coarse','hair','','',''
,S_19,coarse,hair,,,,'coarse','hair','','',''
,S_20,soft,fur,,,,'soft','fur','','',''
boar,S_01,short,,fine,,,'short','','fine','',''
,S_02,fur,,,,,'fur','','','',''
,S_03,skin,,,,,'skin','','','',''
,S_04,sparse,hair,rough,skin,,'sparse','hair','rough','skin',''
,S_05,rough,skin,fur,,,'rough','skin','fur','',''
,S_06,sparse,hair,,,,'sparse','hair','','',''
,S_07,coarse,hair,,,,'coarse','hair','','',''
,S_08,fuzz,,,,,'fuzz','','','',''
,S_09,long,hair,,,,'long','hair','','',''
,S_10,thin,fur,,,,'thin','fur','','',''
,S_11,rough,fur,,,,'rough','fur','','',''
,S_12,fur,,,,,'fur','','','',''
,S_13,thin,fur,,,,'thin','fur','','',''
,S_14,medium,hair,,,,'medium','hair','','',''
,S_15,coarse,hair,,,,'coarse','hair','','',''
,S_16,smooth,,,,,'smooth','','','',''
,S_17,silk,,smooth,,,'silk','','smooth','',''
,S_18,long,hair,,,,'long','hair','','',''
,S_19,long,hair,smooth,,,'long','hair','smooth','',''
,S_20,soft,fur,,,,'soft','fur','','',''
cheetah,S_01,short,,fine,,,'short','','fine','',''
,S_02,fur,,,,,'fur','','','',''
,S_03,hair,,fur,,,'hair','','fur','',''
